Item,Type,Location,Classification,Confidence,Notes
/api/health legacy probe endpoint,API endpoint,backend/server.js line 90-92,PROBABLY DEAD,MEDIUM,"Comment: Legacy probe — retained for backwards compatibility. Superseded by structured /health/live and /health/ready endpoints."
ReportNotifications page,React page,frontend/src/pages/reports/ReportNotifications.jsx,PROBABLY DEAD,MEDIUM,"App.jsx comment: Legacy report routes — kept so old bookmarks still work. Superseded by EnsReport unified page."
ReportIncidents page,React page,frontend/src/pages/reports/ReportIncidents.jsx,PROBABLY DEAD,MEDIUM,"App.jsx comment: Legacy report routes — kept so old bookmarks still work. Superseded by ErsReport unified page."
ReportErsIncidents page,React page,frontend/src/pages/reports/ReportErsIncidents.jsx,PROBABLY DEAD,MEDIUM,"App.jsx comment: Legacy report routes — kept so old bookmarks still work."
ReportEnsBroadcasts page,React page,frontend/src/pages/reports/ReportEnsBroadcasts.jsx,PROBABLY DEAD,MEDIUM,"App.jsx comment: Legacy report routes — kept so old bookmarks still work."
/reports/notifications endpoint,API endpoint,backend/src/routes/v1/reports.js,PROBABLY DEAD,MEDIUM,"api/client.js labels it Legacy endpoints (kept for backward-compat with old pages). Reads from ens_notifications which is transitional."
/reports/incidents endpoint,API endpoint,backend/src/routes/v1/reports.js,PROBABLY DEAD,MEDIUM,"api/client.js labels it Legacy endpoints. Superseded by /reports/ers."
/reports/ers-incidents endpoint,API endpoint,backend/src/routes/v1/reports.js,PROBABLY DEAD,MEDIUM,"api/client.js labels it Legacy endpoints."
/reports/ens-broadcasts endpoint,API endpoint,backend/src/routes/v1/reports.js,PROBABLY DEAD,MEDIUM,"api/client.js labels it Legacy endpoints."
api.reports.notifications,Frontend API method,frontend/src/api/client.js,PROBABLY DEAD,MEDIUM,"Labeled Legacy endpoints (kept for backward-compat with old pages)."
api.reports.incidents,Frontend API method,frontend/src/api/client.js,PROBABLY DEAD,MEDIUM,"Labeled Legacy endpoints."
api.reports.ersIncidents,Frontend API method,frontend/src/api/client.js,PROBABLY DEAD,MEDIUM,"Labeled Legacy endpoints."
api.reports.ensBroadcasts,Frontend API method,frontend/src/api/client.js,PROBABLY DEAD,MEDIUM,"Labeled Legacy endpoints."
FRONTEND_PORT env var,Config,backend/server.js,PROBABLY DEAD,LOW,"Read only to print in startup banner. Does not actually control Vite port which is set independently. Not in .env.example."
conferenceManager.js service,JS file,backend/src/services/conferenceManager.js,NEEDS VERIFICATION,LOW,"Not imported in server.js or any visible route file. May be imported through a test or dynamic path. Requires full import-chain grep before removal."
/internal/ens/notifications/* legacy endpoints,API endpoints,backend/src/routes/internal/ens.js,SUSPICIOUS,LOW,"Pre-campaign-engine blast path. Campaign engine is the new path. These may still be called by older Lua deployments not yet updated. Verify deployed Lua scripts on FreeSWITCH."
ens_notifications table,DB table,backend/src/db/schema.sql,TRANSITIONAL,N/A,"Still written by legacy blast path and read by dashboardController and legacy report pages. Not safe to remove until all callers migrate to ens_campaigns."
ens_notification_deliveries table,DB table,backend/src/db/schema.sql,TRANSITIONAL,N/A,"Still written by legacy blast path and read by reports. Not safe to remove until ens_notifications is retired."
